paradigm,subject,fold,permute_k,split,calib_size,seed,n_val,baseline_auc,status,accepted,adapted_auc,deployed_auc,delta_auc,internal_val_auc,best_epoch
als,1,version_31,0,stratified,24,42,6,0.554239744351962,ungateable,,,0.554239744351962,0.0,,
als,1,version_31,0,stratified,24,43,6,0.5568498976086669,ungateable,,,0.5568498976086669,0.0,,
als,1,version_31,0,stratified,24,44,6,0.5545782963403356,ungateable,,,0.5545782963403356,0.0,,
als,1,version_31,0,stratified,24,45,6,0.5572412967366891,ungateable,,,0.5572412967366891,0.0,,
als,1,version_31,0,stratified,24,46,6,0.5563965682388691,ungateable,,,0.5563965682388691,0.0,,
als,1,version_31,0,stratified,48,42,12,0.5543724314210298,ok,1,0.5526395803401383,0.5526395803401383,-0.0017328510808914954,0.65,7
als,1,version_31,0,stratified,48,43,12,0.5581801931237261,ok,0,0.558179775468609,0.5581801931237261,0.0,0.45,0
als,1,version_31,0,stratified,48,44,12,0.5542588292291757,ok,1,0.5470722376290554,0.5470722376290554,-0.007186591600120251,0.55,18
als,1,version_31,0,stratified,48,45,12,0.558731497878312,ok,1,0.5540345484312874,0.5540345484312874,-0.00469694944702459,0.45,14
als,1,version_31,0,stratified,48,46,12,0.5541786394466905,ok,0,0.554142721106619,0.5541786394466905,0.0,0.75,0
als,1,version_31,0,stratified,96,42,24,0.5538973530317021,ok,1,0.5538486200882322,0.5538486200882322,-4.8732943469853574e-05,0.6375,0
als,1,version_31,0,stratified,96,43,24,0.5583290585137308,ok,1,0.5576991638452857,0.5576991638452857,-0.0006298946684450968,0.65,4
als,1,version_31,0,stratified,96,44,24,0.553604527888923,ok,0,0.5536327416983003,0.553604527888923,0.0,0.625,0
als,1,version_31,0,stratified,96,45,24,0.5579297903628467,ok,1,0.5384113915392771,0.5384113915392771,-0.01951839882356965,0.8625,17
als,1,version_31,0,stratified,96,46,24,0.5541358879655278,ok,0,0.5541632468109846,0.5541358879655278,0.0,0.425,0
als,1,version_31,0,stratified,240,42,60,0.5553994490358126,ok,0,0.555295684113866,0.5553994490358126,0.0,0.602,0
als,1,version_31,0,stratified,240,43,60,0.55427318640955,ok,1,0.5542463269054179,0.5542463269054179,-2.6859504132170642e-05,0.6799999999999999,0
als,1,version_31,0,stratified,240,44,60,0.5516184573002756,ok,1,0.5394563820018365,0.5394563820018365,-0.012162075298439046,0.698,27
als,1,version_31,0,stratified,240,45,60,0.5579325068870524,ok,0,0.557860422405877,0.5579325068870524,0.0,0.41000000000000003,0
als,1,version_31,0,stratified,240,46,60,0.5513292011019284,ok,0,0.5515610651974288,0.5513292011019284,0.0,0.654,0
als,1,version_31,0,stratified,480,42,120,0.5540665972944849,ok,1,0.551889958376691,0.551889958376691,-0.0021766389177939605,0.6565,1
als,1,version_31,0,stratified,480,43,120,0.5524843912591051,ok,0,0.552474505723205,0.5524843912591051,0.0,0.583,0
als,1,version_31,0,stratified,480,44,120,0.5498288241415192,ok,1,0.5440712799167533,0.5440712799167533,-0.005757544224765931,0.5905,2
als,1,version_31,0,stratified,480,45,120,0.5584474505723205,ok,1,0.556641779396462,0.556641779396462,-0.0018056711758585031,0.5595,1
als,1,version_31,0,stratified,480,46,120,0.5506394380853278,ok,0,0.5510598335067638,0.5506394380853278,0.0,0.662,0
als,1,version_31,0,temporal_array,24,42,6,0.5559696624388956,ungateable,,,0.5559696624388956,0.0,,
als,1,version_31,0,temporal_array,24,43,6,0.5559696624388956,ungateable,,,0.5559696624388956,0.0,,
als,1,version_31,0,temporal_array,24,44,6,0.5559696624388956,ungateable,,,0.5559696624388956,0.0,,
als,1,version_31,0,temporal_array,24,45,6,0.5559696624388956,ungateable,,,0.5559696624388956,0.0,,
als,1,version_31,0,temporal_array,24,46,6,0.5559696624388956,ungateable,,,0.5559696624388956,0.0,,
als,1,version_31,0,temporal_array,48,42,12,0.5551008219452704,ok,0,0.5550488238831902,0.5551008219452704,0.0,0.4,0
als,1,version_31,0,temporal_array,48,43,12,0.5551008219452704,ok,0,0.5551488522837381,0.5551008219452704,0.0,0.8500000000000001,0
als,1,version_31,0,temporal_array,48,44,12,0.5551008219452704,ok,0,0.5550665742256674,0.5551008219452704,0.0,0.8500000000000001,0
als,1,version_31,0,temporal_array,48,45,12,0.5551008219452704,ok,0,0.5551064602893514,0.5551008219452704,0.0,0.4,0
als,1,version_31,0,temporal_array,48,46,12,0.5551008219452704,ok,0,0.5550962277389823,0.5551008219452704,0.0,0.75,0
als,1,version_31,0,temporal_array,96,42,24,0.5583230737662871,ok,0,0.5583724479326972,0.5583230737662871,0.0,0.21250000000000002,0
als,1,version_31,0,temporal_array,96,43,24,0.5583230737662871,ok,1,0.5582807530522211,0.5582807530522211,-4.232071406595761e-05,0.375,0
als,1,version_31,0,temporal_array,96,44,24,0.5583230737662871,ok,0,0.5583747990834786,0.5583230737662871,0.0,0.45000000000000007,0
als,1,version_31,0,temporal_array,96,45,24,0.5583230737662871,ok,0,0.5583519287986047,0.5583230737662871,0.0,0.5625,0
als,1,version_31,0,temporal_array,96,46,24,0.5583230737662871,ok,1,0.5510808881365206,0.5510808881365206,-0.007242185629766529,0.11250000000000002,28
als,1,version_31,0,temporal_array,240,42,60,0.5604527089072544,ok,0,0.5603399908172635,0.5604527089072544,0.0,0.548,0
als,1,version_31,0,temporal_array,240,43,60,0.5604527089072544,ok,1,0.5459892102846648,0.5459892102846648,-0.014463498622589555,0.576,12
als,1,version_31,0,temporal_array,240,44,60,0.5604527089072544,ok,1,0.5461003213957759,0.5461003213957759,-0.014352387511478493,0.67,11
