paradigm,subject,fold,calib_size,coverage_target,seed,status,n_pos,n_task_neg,n_base_neg,calib_pos_rate,calib_baseline_frac,n_eval,baseline_auc,adapted_auc,delta_auc
mi,99,version_27,100,0.75,44,ok,38,16,46,0.38,0.46,134,0.7131801125703565,0.6554878048780488,-0.05769230769230771
mi,99,version_27,100,0.75,45,ok,38,16,46,0.38,0.46,134,0.7696998123827392,0.6822232645403377,-0.08747654784240155
mi,99,version_27,100,0.75,46,ok,38,16,46,0.38,0.46,134,0.7225609756097561,0.7040337711069419,-0.0185272045028142
mi,99,version_27,100,1.0,,unattainable,,,,,,,,,
mi,99,version_27,150,0.0,,unattainable,,,,,,,,,
mi,99,version_27,150,0.25,42,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.8251201923076924,0.807091346153846,-0.018028846153846367
mi,99,version_27,150,0.25,43,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.8058894230769231,0.8281249999999999,0.02223557692307676
mi,99,version_27,150,0.25,44,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7379807692307692,0.7235576923076923,-0.014423076923076872
mi,99,version_27,150,0.25,45,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7151442307692307,0.7385817307692307,0.0234375
mi,99,version_27,150,0.25,46,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.6712740384615384,0.6971153846153846,0.025841346153846145
mi,99,version_27,150,0.5,42,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.6610576923076924,0.678485576923077,0.01742788461538458
mi,99,version_27,150,0.5,43,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7596153846153846,0.8167067307692308,0.057091346153846256
mi,99,version_27,150,0.5,44,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7596153846153847,0.703125,-0.05649038461538469
mi,99,version_27,150,0.5,45,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.6826923076923076,0.709735576923077,0.027043269230769384
mi,99,version_27,150,0.5,46,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7367788461538461,0.7512019230769231,0.014423076923076983
mi,99,version_27,150,0.75,,unattainable,,,,,,,,,
mi,99,version_27,150,1.0,,unattainable,,,,,,,,,
mi,99,version_27,200,0.0,,unattainable,,,,,,,,,
mi,99,version_27,200,0.25,,unattainable,,,,,,,,,
mi,99,version_27,200,0.5,,unattainable,,,,,,,,,
mi,99,version_27,200,0.75,,unattainable,,,,,,,,,
mi,99,version_27,200,1.0,,unattainable,,,,,,,,,
mi,99,version_28,50,0.0,42,ok,19,31,0,0.38,0.0,184,0.7402467904773774,0.651377290290415,-0.08886950018696238
mi,99,version_28,50,0.0,43,ok,19,31,0,0.38,0.0,184,0.7377539573725539,0.6102455440608252,-0.12750841331172869
mi,99,version_28,50,0.0,44,ok,19,31,0,0.38,0.0,184,0.7348871993020069,0.6871494453446342,-0.047737753957372675
mi,99,version_28,50,0.0,45,ok,19,31,0,0.38,0.0,184,0.7510906144833602,0.583447588183971,-0.1676430262993892
mi,99,version_28,50,0.0,46,ok,19,31,0,0.38,0.0,184,0.734388632681042,0.6706967468527982,-0.06369188582824381
mi,99,version_28,50,0.25,42,ok,19,23,8,0.38,0.16,184,0.7234201670198181,0.6953757945905522,-0.02804437242926594
mi,99,version_28,50,0.25,43,ok,19,23,8,0.38,0.16,184,0.7451078150317837,0.6161037018571606,-0.12900411317462313
mi,99,version_28,50,0.25,44,ok,19,23,8,0.38,0.16,184,0.7135734762557647,0.708338526735635,-0.005234949520129706
mi,99,version_28,50,0.25,45,ok,19,23,8,0.38,0.16,184,0.7548298641405958,0.5808301134239062,-0.1739997507166896
mi,99,version_28,50,0.25,46,ok,19,23,8,0.38,0.16,184,0.7107067181852175,0.6983671943163405,-0.012339523868876934
mi,99,version_28,50,0.5,42,ok,19,15,16,0.38,0.32,184,0.7074660351489468,0.6456437741493207,-0.061822260999626066
mi,99,version_28,50,0.5,43,ok,19,15,16,0.38,0.32,184,0.7054717686650879,0.6716938800947276,-0.03377788857036024
mi,99,version_28,50,0.5,44,ok,19,15,16,0.38,0.32,184,0.7115792097719057,0.6744359965100337,-0.03714321326187198
mi,99,version_28,50,0.5,45,ok,19,15,16,0.38,0.32,184,0.7173127259130002,0.687024803689393,-0.03028792222360721
mi,99,version_28,50,0.5,46,ok,19,15,16,0.38,0.32,184,0.7700361460800199,0.6442727159416676,-0.12576343013835234
mi,99,version_28,50,0.75,42,ok,19,8,23,0.38,0.46,184,0.7503427645519133,0.5915492957746479,-0.1587934687772654
mi,99,version_28,50,0.75,43,ok,19,8,23,0.38,0.46,184,0.700735385765923,0.648635173875109,-0.05210021189081393
mi,99,version_28,50,0.75,44,ok,19,8,23,0.38,0.46,184,0.7104574348747352,0.6935061697619345,-0.016951265112800762
mi,99,version_28,50,0.75,45,ok,19,8,23,0.38,0.46,184,0.7120777763928705,0.6769288296148573,-0.03514894677801317
mi,99,version_28,50,0.75,46,ok,19,8,23,0.38,0.46,184,0.6726910133366573,0.6518758569113798,-0.020815156425277426
mi,99,version_28,50,1.0,42,ok,19,0,31,0.38,0.62,184,0.6797955876854044,0.651377290290415,-0.028418297394989356
mi,99,version_28,50,1.0,43,ok,19,0,31,0.38,0.62,184,0.7070921101832232,0.6827869874111929,-0.02430512277203023
mi,99,version_28,50,1.0,44,ok,19,0,31,0.38,0.62,184,0.7208026922597532,0.6673314221612864,-0.05347127009846686
mi,99,version_28,50,1.0,45,ok,19,0,31,0.38,0.62,184,0.6906394116913873,0.6558643898790976,-0.03477502181228975
mi,99,version_28,50,1.0,46,ok,19,0,31,0.38,0.62,184,0.6981179110058581,0.6515019319456562,-0.04661597906020187
mi,99,version_28,100,0.0,42,ok,38,62,0,0.38,0.0,134,0.7659474671669793,0.6639305816135085,-0.10201688555347077
mi,99,version_28,100,0.0,43,ok,38,62,0,0.38,0.0,134,0.7504690431519699,0.5745778611632271,-0.17589118198874287
mi,99,version_28,100,0.0,44,ok,38,62,0,0.38,0.0,134,0.7532833020637898,0.6665103189493434,-0.08677298311444637
mi,99,version_28,100,0.0,45,ok,38,62,0,0.38,0.0,134,0.7631332082551595,0.6672138836772983,-0.09591932457786123
mi,99,version_28,100,0.0,46,ok,38,62,0,0.38,0.0,134,0.7610225140712946,0.6883208255159474,-0.0727016885553472
mi,99,version_28,100,0.25,42,ok,38,46,16,0.38,0.16,134,0.7375703564727956,0.6864446529080674,-0.05112570356472812
mi,99,version_28,100,0.25,43,ok,38,46,16,0.38,0.16,134,0.7272514071294559,0.6805816135084428,-0.04666979362101309
mi,99,version_28,100,0.25,44,ok,38,46,16,0.38,0.16,134,0.7551594746716698,0.7054409005628519,-0.04971857410881786
mi,99,version_28,100,0.25,45,ok,38,46,16,0.38,0.16,134,0.7361632270168856,0.7023921200750468,-0.033771106941838824
mi,99,version_28,100,0.25,46,ok,38,46,16,0.38,0.16,134,0.7389774859287054,0.7033302063789869,-0.03564727954971847
mi,99,version_28,100,0.5,42,ok,38,31,31,0.38,0.31,134,0.7164634146341464,0.674953095684803,-0.04151031894934343
mi,99,version_28,100,0.5,43,ok,38,31,31,0.38,0.31,134,0.6946529080675423,0.6885553470919324,-0.0060975609756098725
mi,99,version_28,100,0.5,44,ok,38,31,31,0.38,0.31,134,0.7361632270168855,0.7091932457786115,-0.026969981238273988
mi,99,version_28,100,0.5,45,ok,38,31,31,0.38,0.31,134,0.6662757973733583,0.6819887429643527,0.015712945590994454
mi,99,version_28,100,0.5,46,ok,38,31,31,0.38,0.31,134,0.7298311444652907,0.6451688555347092,-0.08466228893058159
mi,99,version_28,100,0.75,42,ok,38,16,46,0.38,0.46,134,0.671200750469043,0.6409474671669794,-0.03025328330206367
mi,99,version_28,100,0.75,43,ok,38,16,46,0.38,0.46,134,0.6967636022514071,0.5708255159474671,-0.12593808630394
mi,99,version_28,100,0.75,44,ok,38,16,46,0.38,0.46,134,0.6742495309568479,0.6341463414634146,-0.04010318949343328
mi,99,version_28,100,0.75,45,ok,38,16,46,0.38,0.46,134,0.74812382739212,0.6761257035647279,-0.07199812382739212
mi,99,version_28,100,0.75,46,ok,38,16,46,0.38,0.46,134,0.7122420262664164,0.6484521575984991,-0.06378986866791736
mi,99,version_28,100,1.0,,unattainable,,,,,,,,,
mi,99,version_28,150,0.0,,unattainable,,,,,,,,,
mi,99,version_28,150,0.25,42,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.8185096153846154,0.7469951923076923,-0.07151442307692313
mi,99,version_28,150,0.25,43,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7764423076923076,0.7848557692307693,0.008413461538461675
mi,99,version_28,150,0.25,44,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7121394230769231,0.7115384615384616,-0.0006009615384615641
mi,99,version_28,150,0.25,45,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7109375,0.7205528846153847,0.009615384615384692
mi,99,version_28,150,0.25,46,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.6875,0.705528846153846,0.018028846153846034
mi,99,version_28,150,0.5,42,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.6676682692307693,0.662860576923077,-0.004807692307692291
mi,99,version_28,150,0.5,43,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.696514423076923,0.7271634615384615,0.030649038461538436
mi,99,version_28,150,0.5,44,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7139423076923077,0.704326923076923,-0.009615384615384692
mi,99,version_28,150,0.5,45,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.6796875,0.6947115384615385,0.015024038461538547
mi,99,version_28,150,0.5,46,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7391826923076923,0.734375,-0.004807692307692291
mi,99,version_28,150,0.75,,unattainable,,,,,,,,,
mi,99,version_28,150,1.0,,unattainable,,,,,,,,,
mi,99,version_28,200,0.0,,unattainable,,,,,,,,,
mi,99,version_28,200,0.25,,unattainable,,,,,,,,,
mi,99,version_28,200,0.5,,unattainable,,,,,,,,,
mi,99,version_28,200,0.75,,unattainable,,,,,,,,,
mi,99,version_28,200,1.0,,unattainable,,,,,,,,,
mi,99,version_29,50,0.0,42,ok,19,31,0,0.38,0.0,184,0.7740246790477378,0.638289916490091,-0.13573476255764672
mi,99,version_29,50,0.0,43,ok,19,31,0,0.38,0.0,184,0.7581951888321077,0.6936308114171756,-0.06456437741493204
mi,99,version_29,50,0.0,44,ok,19,31,0,0.38,0.0,184,0.7717811292533965,0.7633054966969961,-0.008475632556400381
mi,99,version_29,50,0.0,45,ok,19,31,0,0.38,0.0,184,0.7566994889692135,0.7196809173625826,-0.03701857160663091
mi,99,version_29,50,0.0,46,ok,19,31,0,0.38,0.0,184,0.751589181104325,0.7416178486850306,-0.009971332419294487
mi,99,version_29,50,0.25,42,ok,19,23,8,0.38,0.16,184,0.7585691137978312,0.7616851551788608,0.0031160413810296106
mi,99,version_29,50,0.25,43,ok,19,23,8,0.38,0.16,184,0.7834974448460675,0.6177240433752961,-0.16577340147077146
mi,99,version_29,50,0.25,44,ok,19,23,8,0.38,0.16,184,0.7468527982051602,0.7340147077153185,-0.012838090489841636
mi,99,version_29,50,0.25,45,ok,19,23,8,0.38,0.16,184,0.7740246790477378,0.6662096472641157,-0.10781503178362206
mi,99,version_29,50,0.25,46,ok,19,23,8,0.38,0.16,184,0.7421164153059953,0.730898666334289,-0.011217748971706243
mi,99,version_29,50,0.5,42,ok,19,15,16,0.38,0.32,184,0.72890439985043,0.6940047363828992,-0.03489966346753082
mi,99,version_29,50,0.5,43,ok,19,15,16,0.38,0.32,184,0.736382899164901,0.7090863766670821,-0.027296522497818887
mi,99,version_29,50,0.5,44,ok,19,15,16,0.38,0.32,184,0.7522123893805309,0.7026050105945406,-0.04960737878599031
mi,99,version_29,50,0.5,45,ok,19,15,16,0.38,0.32,184,0.7280319082637418,0.7325190078524243,0.0044870995886825416
mi,99,version_29,50,0.5,46,ok,19,15,16,0.38,0.32,184,0.7662968964227846,0.6692010469899041,-0.09709584943288052
mi,99,version_29,50,0.75,42,ok,19,8,23,0.38,0.46,184,0.7606880219369313,0.6101209024055839,-0.15056711953134738
mi,99,version_29,50,0.75,43,ok,19,8,23,0.38,0.46,184,0.7346379159915243,0.6716938800947276,-0.06294403589679665
mi,99,version_29,50,0.75,44,ok,19,8,23,0.38,0.46,184,0.7527109560014958,0.7154431010843825,-0.037267854917113374
mi,99,version_29,50,0.75,45,ok,19,8,23,0.38,0.46,184,0.7252897918484357,0.6704474635423159,-0.05484232830611979
mi,99,version_29,50,0.75,46,ok,19,8,23,0.38,0.46,184,0.7037267854917113,0.7069674685279821,0.003240683036270786
mi,99,version_29,50,1.0,42,ok,19,0,31,0.38,0.62,184,0.7153184594291412,0.6976193443848934,-0.017699115044247815
mi,99,version_29,50,1.0,43,ok,19,0,31,0.38,0.62,184,0.7341393493705596,0.6845319705845694,-0.0496073787859902
mi,99,version_29,50,1.0,44,ok,19,0,31,0.38,0.62,184,0.761186588557896,0.693256886451452,-0.067929702106444
mi,99,version_29,50,1.0,45,ok,19,0,31,0.38,0.62,184,0.7285304748847063,0.6805434376168515,-0.047987037267854804
mi,99,version_29,50,1.0,46,ok,19,0,31,0.38,0.62,184,0.7264115667456064,0.6629689642278449,-0.06344260251776146
mi,99,version_29,100,0.0,42,ok,38,62,0,0.38,0.0,134,0.7577392120075047,0.7424953095684803,-0.015243902439024404
mi,99,version_29,100,0.0,43,ok,38,62,0,0.38,0.0,134,0.748827392120075,0.6780018761726078,-0.07082551594746722
mi,99,version_29,100,0.0,44,ok,38,62,0,0.38,0.0,134,0.7621951219512195,0.7106003752345216,-0.05159474671669795
mi,99,version_29,100,0.0,45,ok,38,62,0,0.38,0.0,134,0.7673545966228893,0.6864446529080677,-0.08090994371482163
mi,99,version_29,100,0.0,46,ok,38,62,0,0.38,0.0,134,0.7568011257035647,0.7464821763602252,-0.010318949343339545
