epoch,lr-AdamW,step,test/roc_auc,train/loss,train/roc_auc,val/loss,val/roc_auc
,0.0001,0,,,,,
0,,277,,,,0.8581221699714661,0.5546019077301025
0,,277,,0.880327582359314,0.5306015014648438,,
,0.00019,278,,,,,
1,,555,,,,0.8748156428337097,0.5784146189689636
1,,555,,0.8512065410614014,0.5863965749740601,,
,0.00028000000000000003,556,,,,,
2,,833,,,,0.8675973415374756,0.6144652962684631
2,,833,,0.8327963352203369,0.6273843050003052,,
,0.00037000000000000005,834,,,,,
3,,1111,,,,0.8588194251060486,0.6592235565185547
3,,1111,,0.8204630017280579,0.6560919284820557,,
,0.00046000000000000007,1112,,,,,
4,,1389,,,,0.8620097637176514,0.6642168164253235
4,,1389,,0.8060805797576904,0.6779981255531311,,
,0.00055,1390,,,,,
5,,1667,,,,0.8622579574584961,0.6719897985458374
5,,1667,,0.8028846979141235,0.6799513697624207,,
,0.00064,1668,,,,,
6,,1945,,,,0.8195248246192932,0.6940451264381409
6,,1945,,0.7916164398193359,0.6937865614891052,,
,0.0007300000000000001,1946,,,,,
7,,2223,,,,0.8463678359985352,0.7158641815185547
7,,2223,,0.785470724105835,0.6989357471466064,,
,0.0008200000000000001,2224,,,,,
8,,2501,,,,0.8558005094528198,0.7068249583244324
8,,2501,,0.7828001976013184,0.7021672129631042,,
,0.0009100000000000002,2502,,,,,
9,,2779,,,,0.8397617340087891,0.7129050493240356
9,,2779,,0.7714366316795349,0.716742753982544,,
,0.001,2780,,,,,
10,,3057,,,,0.8151395320892334,0.6990306973457336
10,,3057,,0.7670771479606628,0.722303032875061,,
,0.0009999317208437383,3058,,,,,
11,,3335,,,,0.8123076558113098,0.718298614025116
11,,3335,,0.7612317800521851,0.7254928946495056,,
,0.0009997269020417926,3336,,,,,
12,,3613,,,,0.7930425405502319,0.7190081477165222
12,,3613,,0.7502511739730835,0.7346440553665161,,
,0.0009993855995895783,3614,,,,,
13,,3891,,,,0.7959504723548889,0.7303263545036316
13,,3891,,0.7516225576400757,0.7342650294303894,,
,0.0009989079067957778,3892,,,,,
14,,4169,,,,0.7839714884757996,0.7300710082054138
14,,4169,,0.7471007108688354,0.7384359836578369,,
,0.0009982939542568315,4170,,,,,
15,,4447,,,,0.7866345047950745,0.737507700920105
15,,4447,,0.7412251234054565,0.7445675134658813,,
,0.0009975439098212332,4448,,,,,
16,,4725,,,,0.7697114944458008,0.7342801094055176
16,,4725,,0.740130603313446,0.7463092803955078,,
,0.0009966579785436421,4726,,,,,
17,,5003,,,,0.8183034658432007,0.7282752990722656
17,,5003,,0.7411376237869263,0.7444940209388733,,
,0.000995636402628824,5004,,,,,
18,,5281,,,,0.8641297221183777,0.7174175977706909
18,,5281,,0.734348475933075,0.7474697828292847,,
,0.0009944794613654334,5282,,,,,
19,,5559,,,,0.7977568507194519,0.7373811602592468
19,,5559,,0.7301307320594788,0.7527846693992615,,
,0.0009931874710496598,5560,,,,,
20,,5837,,,,0.8008251190185547,0.7369831204414368
20,,5837,,0.7260828018188477,0.7536296844482422,,
,0.000991760784898755,5838,,,,,
21,,6115,,,,0.8210972547531128,0.7353353500366211
21,,6115,,0.728278398513794,0.7528614401817322,,
,0.0009901997929544675,6116,,,,,
22,,6393,,,,0.7795770168304443,0.7374962568283081
22,,6393,,0.7313510775566101,0.7536221742630005,,
,0.000988504921976408,6394,,,,,
23,,6671,,,,0.7487240433692932,0.7375843524932861
23,,6671,,0.7276784181594849,0.7550432682037354,,
,0.000986676635325379,6672,,,,,
24,,6949,,,,0.8337990641593933,0.7371984720230103
24,,6949,,0.7236114144325256,0.7587530612945557,,
,0.0009847154328366957,6950,,,,,
25,,7227,,,,0.8220058083534241,0.7281208634376526
25,,7227,,0.7223494052886963,0.7593994140625,,
,0.0009826218506835357,7228,,,,,
26,,7505,,,,0.7683382034301758,0.7370415329933167
26,,7505,,0.7224785089492798,0.7569902539253235,,
,0.0009803964612303557,7506,,,,,
27,,7783,,,,0.765839695930481,0.7387446761131287
27,,7783,,0.726307213306427,0.7568513751029968,,
,0.0009780398728764116,7784,,,,,
28,,8061,,,,0.7889924049377441,0.7232483625411987
28,,8061,,0.7291106581687927,0.7531564831733704,,
,0.0009755527298894293,8062,,,,,
29,,8339,,,,0.7652299404144287,0.7400252819061279
29,,8339,,0.7242184281349182,0.7581774592399597,,
,0.0009729357122294669,8340,,,,,
30,,8617,,,,0.8399906158447266,0.7410138249397278
30,,8617,,0.716174840927124,0.7680738568305969,,
,0.0009701895353630226,8618,,,,,
31,,8895,,,,0.7802095413208008,0.7438917756080627
31,,8895,,0.7183156609535217,0.76358562707901,,
,0.0009673149500674307,8896,,,,,
32,,9173,,,,0.8014004826545715,0.732111394405365
32,,9173,,0.7181750535964966,0.7631030082702637,,
,0.0009643127422256086,9174,,,,,
33,,9451,,,,0.8007946014404297,0.7370717525482178
33,,9451,,0.7193827629089355,0.7626852989196777,,
,0.0009611837326112036,9452,,,,,
34,,9729,,,,0.8365947008132935,0.731476902961731
34,,9729,,0.7168024778366089,0.7629002928733826,,
,0.000957928776664201,9730,,,,,
35,,10007,,,,0.7764146327972412,0.7470148801803589
35,,10007,,0.7206401824951172,0.7630703449249268,,
,0.0009545487642570565,10008,,,,,
36,,10285,,,,0.7538625001907349,0.7447013854980469
36,,10285,,0.7307599782943726,0.7520711421966553,,
,0.0009510446194514129,10286,,,,,
37,,10563,,,,0.7958142161369324,0.7443698048591614
37,,10563,,0.7142268419265747,0.7657676935195923,,
,0.0009474173002454712,10564,,,,,
38,,10841,,,,0.8019139766693115,0.7410887479782104
38,,10841,,0.7119143009185791,0.7677637338638306,,
,0.0009436677983120839,10842,,,,,
39,,11119,,,,0.7645946145057678,0.7379317283630371
39,,11119,,0.7186699509620667,0.7635602951049805,,
,0.0009397971387276411,11120,,,,,
40,,11397,,,,0.7733753323554993,0.7346373796463013
40,,11397,,0.7135122418403625,0.7671681642532349,,
,0.0009358063796918247,11398,,,,,
41,,11675,,,,0.7721878886222839,0.7272639274597168
41,,11675,,0.7166600227355957,0.7637323141098022,,
,0.0009316966122383079,11676,,,,,
42,,11953,,,,0.7420300245285034,0.7498882412910461
42,,11953,,0.7088131308555603,0.7716810703277588,,
,0.0009274689599364765,11954,,,,,
43,,12231,,,,0.8275838494300842,0.7325522899627686
43,,12231,,0.709552526473999,0.7720139026641846,,
,0.000923124578584257,12232,,,,,
44,,12509,,,,0.8054471611976624,0.7151999473571777
44,,12509,,0.7144147157669067,0.7676531076431274,,
,0.0009186646558921328,12510,,,,,
45,,12787,,,,0.7992715835571289,0.7419532537460327
45,,12787,,0.714363694190979,0.7659552097320557,,
,0.0009140904111584359,12788,,,,,
46,,13065,,,,0.8014611601829529,0.7421874403953552
46,,13065,,0.7085316181182861,0.7721384763717651,,
,0.0009094030949360027,13066,,,,,
47,,13343,,,,0.7712871432304382,0.7429008483886719
47,,13343,,0.7099321484565735,0.7696419954299927,,
,0.0009046039886902861,13344,,,,,
48,,13621,,,,0.773179292678833,0.745552659034729
48,,13621,,0.7145495414733887,0.7642685174942017,,
,0.0008996944044490148,13622,,,,,
49,,13899,,,,0.8591839075088501,0.7449190616607666
49,,13899,,0.7128534317016602,0.766872763633728,,
,0.0008946756844434986,13900,,,,,
50,,14177,,,,0.809329092502594,0.7278332710266113
50,,14177,,0.7063236236572266,0.7733626365661621,,
,0.0008895492007416751,14178,,,,,
51,,14455,,,,0.7732790112495422,0.7354893088340759
51,,14455,,0.7169011235237122,0.7655539512634277,,
,0.0008843163548730011,14456,,,,,
52,,14733,,,,0.7543834447860718,0.7392308712005615
52,,14733,,0.7073704600334167,0.7729894518852234,,
,0.0008789785774452872,14734,,,,,
53,,15011,,,,0.7744829654693604,0.742999255657196
53,,15011,,0.7080209851264954,0.7707259058952332,,
,0.0008735373277535849,15012,,,,,
54,,15289,,,,0.782485842704773,0.7426393032073975
54,,15289,,0.7101057767868042,0.7691556811332703,,
,0.0008679940933812293,15290,,,,,
55,,15567,,,,0.779273509979248,0.7475906610488892
55,,15567,,0.7088200449943542,0.7702053785324097,,
,0.0008623503897931489,15568,,,,,
56,,15845,,,,0.8418355584144592,0.7369542121887207
56,,15845,,0.7089855074882507,0.7714282870292664,,
,0.0008566077599215528,15846,,,,,
57,,16123,,,,0.7661578059196472,0.740668773651123
57,,16123,,0.7055426239967346,0.7734814882278442,,
,0.0008507677737441078,16124,,,,,
58,,16401,,,,0.7542327046394348,0.7500284910202026
58,,16401,,0.7029768228530884,0.7751972675323486,,
,0.0008448320278547235,16402,,,,,
59,,16679,,,,0.7415472865104675,0.742304801940918
59,,16679,,0.7076682448387146,0.7726224064826965,,
,0.0008388021450270577,16680,,,,,
60,,16957,,,,0.7779595255851746,0.7471717596054077
60,,16957,,0.7048696279525757,0.7753372192382812,,
,0.0008326797737708672,16958,,,,,
61,,17235,,,,0.7556182146072388,0.7416673898696899
61,,17235,,0.7003428936004639,0.7792924642562866,,
,0.0008264665878813221,17236,,,,,
62,,17513,,,,0.8164132833480835,0.744523286819458
62,,17513,,0.7038493752479553,0.7762210369110107,,
63,,17514,0.7026803493499756,,,,
