paradigm,subject,split,calib_size,seed,ea_ref,baseline_auc,adapted_auc,delta_auc,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,purge_k,n_purged,status,fold,fold_mode,checkpoint,checkpoint_val_auc,montage_source,n_channels,n_epochs_total,channels
als,1,temporal_array,96,46,session,0.5583230737662871,0.45709791046817827,-0.10122516329810882,96,4104,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,240,42,session,0.5604527089072544,0.4872465564738292,-0.07320615243342521,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,240,43,session,0.5604527089072544,0.48110835629017445,-0.07934435261707995,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,240,44,session,0.5604527089072544,0.4851786042240588,-0.07527410468319562,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,240,45,session,0.5604527089072544,0.48081427915518826,-0.07963842975206614,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,240,46,session,0.5604527089072544,0.4830856290174472,-0.07736707988980718,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,480,42,session,0.5584588969823101,0.513834547346514,-0.04462434963579609,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,480,43,session,0.5584588969823101,0.5124242976066598,-0.046034599375650354,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,480,44,session,0.5584588969823101,0.5124131113423517,-0.046045785639958425,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,480,45,session,0.5584588969823101,0.5141659729448491,-0.04429292403746099,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_array,480,46,session,0.5584588969823101,0.5124659209157129,-0.045992976066597246,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,24,42,session,0.5559696624388956,0.5327866957325935,-0.023182966706302044,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,24,43,session,0.5559696624388956,0.5327866957325934,-0.023182966706302155,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,24,44,session,0.5559696624388956,0.5327866957325935,-0.023182966706302044,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,24,45,session,0.5559696624388956,0.5327866957325935,-0.023182966706302044,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,24,46,session,0.5559696624388956,0.5327866957325935,-0.023182966706302044,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
