paradigm,subject,split,calib_size,seed,ea_ref,baseline_auc,adapted_auc,delta_auc,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,purge_k,n_purged,status,fold,fold_mode,checkpoint,checkpoint_val_auc,montage_source,n_channels,n_epochs_total,channels
p300,1,temporal_array,96,46,session,0.656531141868512,0.6258731617647059,-0.03065798010380616,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,240,42,session,0.652357570239334,0.6444914151925079,-0.007866155046826195,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,240,43,session,0.652357570239334,0.6445011706555671,-0.007856399583766938,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,240,44,session,0.652357570239334,0.6448068418314257,-0.00755072840790838,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,240,45,session,0.652357570239334,0.6449109001040583,-0.007446670135275779,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,240,46,session,0.652357570239334,0.6432622268470344,-0.00909534339229967,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,480,42,session,0.6496764053254438,0.6472309541420118,-0.002445451183431979,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,480,43,session,0.6496764053254438,0.6474112426035503,-0.0022651627218934767,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,480,44,session,0.6496764053254438,0.6470691568047338,-0.002607248520710037,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
p300,1,temporal_array,480,45,session,0.6496764053254438,0.6473118528106508,-0.0023645525147929503,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_39,pinned,lightning_logs/version_39/checkpoints/best-epoch=042-val/roc_auc=0.7208.ckpt,0.7208,inferred_from_config,8,1728,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
