epoch,lr-AdamW,step,test/roc_auc,train/loss,train/roc_auc,val/loss,val/roc_auc
,0.0001,0,,,,,
0,,281,,,,0.8567972183227539,0.5696125030517578
0,,281,,0.8800944685935974,0.5257773995399475,,
,0.00019,282,,,,,
1,,563,,,,0.8519858717918396,0.5980839133262634
1,,563,,0.8533356189727783,0.5839757919311523,,
,0.00028000000000000003,564,,,,,
2,,845,,,,0.8372032046318054,0.6459112167358398
2,,845,,0.8369834423065186,0.6169479489326477,,
,0.00037000000000000005,846,,,,,
3,,1127,,,,0.8316770792007446,0.6726147532463074
3,,1127,,0.8254736661911011,0.6450722217559814,,
,0.00046000000000000007,1128,,,,,
4,,1409,,,,0.8189136981964111,0.6904224157333374
4,,1409,,0.8181673288345337,0.6617314219474792,,
,0.00055,1410,,,,,
5,,1691,,,,0.8303260803222656,0.6912050843238831
5,,1691,,0.8072093725204468,0.6762561798095703,,
,0.00064,1692,,,,,
6,,1973,,,,0.8024986982345581,0.7002949714660645
6,,1973,,0.7914628386497498,0.697587788105011,,
,0.0007300000000000001,1974,,,,,
7,,2255,,,,0.8053714632987976,0.7065112590789795
7,,2255,,0.787635087966919,0.6972726583480835,,
,0.0008200000000000001,2256,,,,,
8,,2537,,,,0.8428962230682373,0.6992781162261963
8,,2537,,0.782640278339386,0.7028999328613281,,
,0.0009100000000000002,2538,,,,,
9,,2819,,,,0.8707607984542847,0.7094115018844604
9,,2819,,0.7784899473190308,0.7072310447692871,,
,0.001,2820,,,,,
10,,3101,,,,0.8180188536643982,0.6985279321670532
10,,3101,,0.7664148807525635,0.7200202345848083,,
,0.0009999317208437383,3102,,,,,
11,,3383,,,,0.7884988188743591,0.7272412776947021
11,,3383,,0.7651485800743103,0.7215206623077393,,
,0.0009997269020417926,3384,,,,,
12,,3665,,,,0.8071286082267761,0.7284643054008484
12,,3665,,0.7600740194320679,0.7278668284416199,,
,0.0009993855995895783,3666,,,,,
13,,3947,,,,0.7939733862876892,0.7206135988235474
13,,3947,,0.7560368180274963,0.7318867444992065,,
,0.0009989079067957778,3948,,,,,
14,,4229,,,,0.763668954372406,0.7407681941986084
14,,4229,,0.7503260970115662,0.7354462146759033,,
,0.0009982939542568315,4230,,,,,
15,,4511,,,,0.7762725949287415,0.7326555848121643
15,,4511,,0.7453111410140991,0.7404533624649048,,
,0.0009975439098212332,4512,,,,,
16,,4793,,,,0.8097238540649414,0.7369039058685303
16,,4793,,0.7541291117668152,0.7299235463142395,,
,0.0009966579785436421,4794,,,,,
17,,5075,,,,0.8026681542396545,0.7275285720825195
17,,5075,,0.7434560060501099,0.7445144057273865,,
,0.000995636402628824,5076,,,,,
18,,5357,,,,0.7506946325302124,0.7499326467514038
18,,5357,,0.7402989268302917,0.7434490919113159,,
,0.0009944794613654334,5358,,,,,
19,,5639,,,,0.7955552935600281,0.7318913340568542
19,,5639,,0.7305952310562134,0.7533810138702393,,
,0.0009931874710496598,5640,,,,,
20,,5921,,,,0.7664178609848022,0.7403985261917114
20,,5921,,0.7436074614524841,0.7403538823127747,,
,0.000991760784898755,5922,,,,,
21,,6203,,,,0.872400164604187,0.7370777726173401
21,,6203,,0.7339680790901184,0.752636194229126,,
,0.0009901997929544675,6204,,,,,
22,,6485,,,,0.8165509700775146,0.7410681843757629
22,,6485,,0.7323010563850403,0.7513796091079712,,
,0.000988504921976408,6486,,,,,
23,,6767,,,,0.8363471031188965,0.7339727282524109
23,,6767,,0.7326878905296326,0.7522455453872681,,
,0.000986676635325379,6768,,,,,
24,,7049,,,,0.8134602904319763,0.7430567741394043
24,,7049,,0.7315199971199036,0.7514016628265381,,
,0.0009847154328366957,7050,,,,,
25,,7331,,,,0.7647138237953186,0.7470126748085022
25,,7331,,0.7276210188865662,0.7554241418838501,,
,0.0009826218506835357,7332,,,,,
26,,7613,,,,0.7898041605949402,0.7491559982299805
26,,7613,,0.7303252816200256,0.753308892250061,,
,0.0009803964612303557,7614,,,,,
27,,7895,,,,0.7533248662948608,0.7510621547698975
27,,7895,,0.7294990420341492,0.7521042227745056,,
,0.0009780398728764116,7896,,,,,
28,,8177,,,,0.7526916861534119,0.7547465562820435
28,,8177,,0.7291339039802551,0.7540171146392822,,
,0.0009755527298894293,8178,,,,,
29,,8459,,,,0.7835047841072083,0.7463103532791138
29,,8459,,0.727557897567749,0.7568322420120239,,
,0.0009729357122294669,8460,,,,,
30,,8741,,,,0.8061577081680298,0.7286877036094666
30,,8741,,0.7292779088020325,0.754275918006897,,
,0.0009701895353630226,8742,,,,,
31,,9023,,,,0.7851468920707703,0.7486225366592407
31,,9023,,0.7265834212303162,0.7570312023162842,,
,0.0009673149500674307,9024,,,,,
32,,9305,,,,0.7591450214385986,0.752128541469574
32,,9305,,0.7274813652038574,0.7547670602798462,,
,0.0009643127422256086,9306,,,,,
33,,9587,,,,0.7843791246414185,0.7492170333862305
33,,9587,,0.726719081401825,0.7549736499786377,,
,0.0009611837326112036,9588,,,,,
34,,9869,,,,0.7324827909469604,0.7573403120040894
34,,9869,,0.7238777875900269,0.7589293718338013,,
,0.000957928776664201,9870,,,,,
35,,10151,,,,0.7687402367591858,0.7425631284713745
35,,10151,,0.7252324223518372,0.7566505670547485,,
,0.0009545487642570565,10152,,,,,
36,,10433,,,,0.745335042476654,0.7554798126220703
36,,10433,,0.716402530670166,0.765912652015686,,
,0.0009510446194514129,10434,,,,,
37,,10715,,,,0.7526748776435852,0.7571395635604858
37,,10715,,0.7176904678344727,0.7641313076019287,,
,0.0009474173002454712,10716,,,,,
38,,10997,,,,0.7572966814041138,0.7554510235786438
38,,10997,,0.7147538661956787,0.7687987685203552,,
,0.0009436677983120839,10998,,,,,
39,,11279,,,,0.8397350311279297,0.7461255192756653
39,,11279,,0.7254617810249329,0.7567480802536011,,
,0.0009397971387276411,11280,,,,,
40,,11561,,,,0.7441495656967163,0.7500090003013611
40,,11561,,0.7216734886169434,0.7615644931793213,,
,0.0009358063796918247,11562,,,,,
41,,11843,,,,0.7869758009910583,0.7526127696037292
41,,11843,,0.7178264856338501,0.7645410895347595,,
,0.0009316966122383079,11844,,,,,
42,,12125,,,,0.7840946912765503,0.7529919147491455
42,,12125,,0.710919976234436,0.7695002555847168,,
,0.0009274689599364765,12126,,,,,
43,,12407,,,,0.8298721313476562,0.7494446039199829
43,,12407,,0.7194998860359192,0.7615498304367065,,
,0.000923124578584257,12408,,,,,
44,,12689,,,,0.7692748308181763,0.7515228986740112
