epoch,lr-AdamW,step,test/roc_auc,train/loss,train/roc_auc,val/loss,val/roc_auc
,0.0001,0,,,,,
0,,281,,,,0.8556785583496094,0.5558878183364868
0,,281,,0.879705011844635,0.5314384698867798,,
,0.00019,282,,,,,
1,,563,,,,0.8436793088912964,0.5937908887863159
1,,563,,0.8542468547821045,0.5782474875450134,,
,0.00028000000000000003,564,,,,,
2,,845,,,,0.8351628184318542,0.632271409034729
2,,845,,0.8357985019683838,0.6174237728118896,,
,0.00037000000000000005,846,,,,,
3,,1127,,,,0.8274500966072083,0.6515856981277466
3,,1127,,0.820692241191864,0.6474918127059937,,
,0.00046000000000000007,1128,,,,,
4,,1409,,,,0.813872218132019,0.6813012361526489
4,,1409,,0.8038221597671509,0.6727474927902222,,
,0.00055,1410,,,,,
5,,1691,,,,0.8138408660888672,0.6744534969329834
5,,1691,,0.7949172854423523,0.6861988306045532,,
,0.00064,1692,,,,,
6,,1973,,,,0.835648238658905,0.6562442779541016
6,,1973,,0.783516526222229,0.7009650468826294,,
,0.0007300000000000001,1974,,,,,
7,,2255,,,,0.8377920389175415,0.6672294735908508
7,,2255,,0.7812216281890869,0.6995574831962585,,
,0.0008200000000000001,2256,,,,,
8,,2537,,,,0.8420189619064331,0.6767939329147339
8,,2537,,0.7721812725067139,0.7078355550765991,,
,0.0009100000000000002,2538,,,,,
9,,2819,,,,0.8526638150215149,0.6723906397819519
9,,2819,,0.7638823986053467,0.7203378081321716,,
,0.001,2820,,,,,
10,,3101,,,,0.8094238638877869,0.6996743679046631
10,,3101,,0.76263827085495,0.7203961610794067,,
,0.0009999317208437383,3102,,,,,
11,,3383,,,,0.8398656249046326,0.6776677370071411
11,,3383,,0.7598667740821838,0.722027599811554,,
,0.0009997269020417926,3384,,,,,
12,,3665,,,,0.8014190793037415,0.7013356685638428
12,,3665,,0.753415584564209,0.7277465462684631,,
,0.0009993855995895783,3666,,,,,
13,,3947,,,,0.7879363894462585,0.7077414989471436
13,,3947,,0.7531059384346008,0.7264341115951538,,
,0.0009989079067957778,3948,,,,,
14,,4229,,,,0.7943218946456909,0.7063831090927124
14,,4229,,0.7503876686096191,0.7284765243530273,,
,0.0009982939542568315,4230,,,,,
